Filename,Transcription,Audio File,Speaker Accent,Register,Loan Word Languages,Genders Present,Speaker Count,Region
06Label_16k.wav,متوسطة ولا ميسورة كيبان لينا أو ما كنحسوش بهاد الأمر ولكن إمتا كتحس به لما كتكون أسرة عندها دخل متواضع نعم و بتأثير من الأطفال كنشوفو واحد الميزانية تخصص صحيح للصبيب ديال الإنترنت من أجل نعم يعني داخلة في الإهتمامات ممكن الناس تخلا لا أنا ما تخلصش مجموعة من الإلتزامات الشهرية ولكن لا كتقول لك الأم والأب ما نقدرش. نعيش. لأنه خصنا,06Label.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/IFwV8r61RVU_siAnkljAYw/O2zNUOwizFOnb1owthut56XQmU-bw_i_QltCxds4R4gAWtsyKH-Xz4KursXXhKsE7HsFBtegkh0kIXJA6W8FEiS_TF7S31Yp7N2HdcdFPd1oFzXp4EpXDi3seFETS3ApbsamABSZ2Wj3eEPRCLahQdsSynCpE6Hrb1Nj_jaC5xw/_PQJdfw0BuFjnqNC8HRlRTtW1Hy6U8uo3IBFIuc7Zgk),Of Casablanca,Mixed/Educated Moroccan Arabic,,"Female,Male",2,Tangier
09Label_16k.wav,العنف فالشارع. العنف فالشارع. للأسف. وما كاينش ما كاينش إضافة إلى ذلك واحد النوع ديال ديال سميتو ديال عدم عدم التواصل لأنه الاجتماعي بين الأسر ما بقاش التواصل بشكل مطلق لأنه كتدخل للبيئة الأسرية كل واحد في عالمه الخاص ما بقيناش هذاك التواصل الأسري ما نهضروش على الأزواج على التفكك الأسري ولكن على هاد الجيل على هاد الفئة.,09Label.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/aZLakgJO_umtUTqJQUYXBg/Av7QKiZUwcOBrs6y-uOjf-nFqNjRWqNe0U0yY3pZyqoa-wU3FXj5z4CYc4MpRz_A2r7o4hutaljmVU-K9-o759MCAYqrHbJ0P4o28UatUjTCghuaoUKIA5Q1StmYTCbu5ACXRinWV893crvu0c6wK3qI4HAnt-WWKZ1uWX6dgbk/czk0gVf5vOTsybZAWmLClUHQ523fueWeP6jII7gjPOc),Of Casablanca,Mixed/Educated Moroccan Arabic,,"Male,Female",2,Tangier
13Label_16k.wav,وهاد حتا هاد الأب لي كنتساءلو هاد الأطفال فهاد الساعات طوال أين هم حتى هما غادي يكونو فراحة وشابرين التيليفون وهادي وأمور لي هي عادية. أنا لا بد دكتور ما نتكلمو على السياسة ونتكلمو على الإرادة الحقيقية للدولة. هل ترى أنه برنامج انتخابي بما أننا حنا على الأبواب يضع الطفولة في صلب الإهتمامات وأنها راه مايمكنش نتكلمو على تنمية حقيقية إلا ما اشتغلناش على الطفولة.,13Label.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/LUjwfE8xJfNEdE5O3_OOPg/1pXMVVolW5tuboPzfibzM6dfle_DP03NaPk-dzrDRw1W1yzgHKCS8XlEfxotcg-E1RjQrzUNxMNGs7Oo4r67u0AfDtSl_fxc8VGkKpBT61YStA-I-rR0Qra8a-A64Iz3eCgp_Bl4jJ_bPSAryd6QaPVBFJ_z4ba6-SWUIWDDFTY/j3t51uLm0rq-yESuhi2wCKDImXr7z1HFpGfdyXnCt_A),Of Casablanca,Mixed/Educated Moroccan Arabic,,Female,1,Tangier
e0vjzUiBgy8_segment_05.mp3_16k.wav,بالأخص أوروبية. لماذا لا البحث عن مثلا بلدان اسيوية نخص بالذكر اليابان لأنهم سباقين فهاد الميدان هدا ويمكن تا هما بالخبرة ديالهم وبالتقنيات لي عندهم يمكن يجيو حتى هما فإطار التعاون الثنائي المغربي الياباني ويمدو لنا يد المساعدة ونشوفو شنو هما التقنيات لي يمكن لها تكون يقدرو يلقاو يقدرو يلقاو يقدرو يلقاو يعني تنعتقد بأن من الممكن من الممكن,e0vjzUiBgy8_segment_05.mp3.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/u0i5dVXamE-8GE4C82biXw/CoiWZbmdYx4MXsKn3IqV4SQVpTD_5lxXYmXts5OtN6hRIi4RkBvVy0XhQo47Tz90PTZNrw9Htl41abrk5AXfFoMnbcnr_3ykUNQ1Nid2sdRqu6HVC1uqeHZQNXG8ssjrTMezQLF2fwxZ0VYC4f_tkhBxJeJy_alhqfvwXpu7OUc6i3mYSgi0EhDbNzUQLuYv/Uk_moqVlLllUbGvstJZuiXBwz26mdjatX3TWsjIZITc),Of Casablanca,Mixed/Educated Moroccan Arabic,,Male,2,Tangier
e0vjzUiBgy8_segment_06.mp3_16k.wav,متيبقاشاي كدور ديال تنفيذ بعض المطالب فقط، بل هناك آفاق مستقبلية تيمكن لها ترسمها الناس لي مكلفين بالغرفة من ناحية المنتخبين على رأسهم الرئيس بجميع الأعضاء لي معاه، وكذلك الدور ديال المديرية لي هي أداة لي تيخصها تساير جميع المشاريع لي كاينة فالمنطقة، أخص بالذكر أولا بناء,e0vjzUiBgy8_segment_06.mp3.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/SAQC8apShha-mB8B7DDiZw/fUCtADtD7IAntvR4OC4k__Fn-50LTPelLPUuxVYJgPBuHS4ucCGFhEJokFq3p7eiqavjRpnj0Bn86y4bX8ySYBWOftZPAY5F1k-v_5-JlQzI5AWsZSPGjBarDK3sBYKWeHOGs8vyyp5ExKecNQYH_1KG0xjGXkv_TcI898dgrmqyb87E6CND7r0hMZB8ny_D/1vLfhm2rCTP0vTjhEA-KcNyZ4AmPCTmdUbKpliWTgJA),Of Tangier/Tetouan,Mixed/Educated Moroccan Arabic,,Male,1,Tangier
radio_20250705_201647.mp3_16k.wav,المنتخب الإسباني بطل العالم و خورخي فيلدا فأول مواجهة ديال زامبيا كان تفوق عليهم بخمسة لزيرو ولكن مع لا روخا. الكرة عند المنتخب الوطني كتمشي لعند سكينة الوزراوي، سكينة الوزراوي la passe ديالها شوية ناقصة في اتجاه نجاة بدري، نجاة بدري لي غادة للبريسينغ، نفس الشيء بالنسبة لغزلان الشباك و كنلاحظو أن اللاعبات ديال الوسط لاعبين بشركة بشكل دينامي، يعني ماكيجلسوش فمكان واحد وكاين واحد التعاون واحد التآزر à la perte du ballon يعني البريسينغ,radio_20250705_201647.mp3.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/JMkIYjIGuQXoKyQQaNbdEg/Kkj96-2zqcKt0kv8hEC67di4Q6C_gaCv5So2Q42E6hk66Q2YZG94bqHfvaWFa9y6YrYZUApgpFrG1G-Xl1HcI-ms7J6QNYMoBYCsNnHjl_zrKwnrWsBtRss8PMX1MBV6E-SyuXRdahqjBwyJFVhuXHaLx-RXW-Za1CvSG8mvcu7PXyXard5f3rkBexSUymx4/UUKkNBkSOFI2pO2ghToKCvmvqqUP2RVOIE4RAIm-ckY),Of Casablanca,Mixed/Educated Moroccan Arabic,French,Male,1,Tangier
Tangier_1-53_16k.wav,وكذلك الوطنية وكذلك الدولية يعني برنامج يعني شامل وخصوصا يعني كنعرفو أن يعني حتا للجمعيات وفمثل هذه المناسبات ديال التظافر والتضامن وكذلك الجمعيات ديال كرة السلة ذوي الاحتياجات الخاصة حتا هما يعني دائما وأبدا كتمر عليهم يعني مرة بالتدقيق ومرة يعني بحضور يعني حتى التظاهرات الوطنية,Tangier_1-53.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/R26CJdzssb8zVLRiwmgVMw/OUdMo14QnzWAa0uRIJjEuf68oqCjvq_vWrr-x3eT89zYy56An_CgNeowvHNygToIbtsV31dBS41pnH4g5ofydyXBejtlOQWWtGWRTt7D4nHiVXL8f8-_P973axrjJt6pbH-I-ebF5a31DYt4AXt0EIlAB22fBjPWTeaB8bSaRXU/tUW31bWBKET3XBDjERX4p_RsWAdQ2zAeXhaVHuldhhQ),Of Casablanca,Mixed/Educated Moroccan Arabic,,Male,1,Tangier
Tangier_2-122_16k.wav,ديال المنظمة. ف وبقيت فالمجال لي كنت اشتغلت عليه وهو كل ما يتعلق بمجال الشغل أو العمل وكل ما يتعلق بالحوار الاجتماعي والحريات النقابية. فأنجزت كذلك عدد من الدراسات لي كتسمى فالمشرق العربي كيسميوها أوراق سياسات لي كانت محط إما منشورة لدى هذه المنظمات بمواقع,Tangier_2-122.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/taCfEJVgBOI430up6JD5Tw/z8ry7BraUOoOhT2m-7es4BOK51OtfPMErgNZ5h0pwIT_iUaw9HrgkVb7KRzCO_wE88_xmjZ_K5XUAm2jHUOK3jawWIAlAA6C2ukgsoR5NlVhNfWDK0ZEYus_d-ZKahK8f_gFB9AhGELlhuAasD6ow-AglgIlK32rvpEV_XO1GSw/ZPX1dBhUqMPWiNlCTHxU6mAQWOuBXAXFD0K5l88BYhk),Of Casablanca,Mixed/Educated Moroccan Arabic,,Male,1,Tangier
Tangier_2-138_16k.wav,المركزيات النقابية أي الطبقة العاملة ومصالح كذلك ما نسميه رجال الأعمال أو الباترونا وكذلك الجمعيات المهنية وبالتالي كان عليك أنك تدير ما يسمى الحوار الاجتماعي ما بين كل هاد الاطراف وهاد الحوار ماشي فقط في مجال الشغل لأن كانت عندي حقيبة التكوين المهني يمكن نقول كنعتز بواحد المجموعة من الاصلاحات لي دخلات نقدر نقول,Tangier_2-138.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/uED9EU4-cdA8mZow8T6KUw/03D99kLOYhAnQG2W0lAbUMR-piNstGMRFqy4gKa2qbIq5lTu2SRrVxv1Z83vfYrN1CWMEd9mnJOUq8s25q3qGAF6nIROjtyaDWTXoAH0-zxQvRLc9EY-x3Vh-LIk4lRAdWBPGW16c9o0_6OTaobtqh-iUNsZCSyHbXZ3MibA0nU/gONuSG48dJV4Q0K0g29Ts-tRqZZSuTHfpFsWV_MU4Qg),Of Casablanca,Mixed/Educated Moroccan Arabic,French,Male,1,Tangier
Tangier_2-141_16k.wav,لي سمح نقول اليوم بكل اعتزاز بالصيغة التي أحدثنا هاد المركز ديال التكوين أنه صبح منارة وإشعاع لاستقطاب أكبر الشركات فمجال الطيران فالمغرب. جميل. ويعود له الفضل اليوم هاد المركز أنه استقطب أكثر من مئة و خمسين شركة ربما كتشتغل اليوم وفتطوير الصناعة ممتاز ديال المغرب فمجال الطيران.,Tangier_2-141.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/mkJxDLg4OMyof9kOFS6GVQ/S2DbVc1251qz2jFGEIaNCIaSGvO0cvcYROHJGBaxoOnlHW8rGD0fWVgMNoXN2nszUI-3AU-uvVc3sgFLUHf3NoG-otgwWrdE5ftKVsPB2cMotsw13UTg0adlJKw9-z3a4P7Azo7TjiCTEFVfkiMWURFfA1ufJ_l8U6Bx4RvZpM0/uMwW7COxQNMheE5FMAnbpBc3xsQBz5ZEg8AOdiGFUUw),Of Casablanca,Mixed/Educated Moroccan Arabic,,"Male,Female",2,Tangier
