Filename,Transcription,Audio File,Speaker Accent,Register,Loan Word Languages,Genders Present,Speaker Count,Region
06Label_16k.wav,متوسطة ولا ميسورة كيبان لينا أو ما كنحسوش بهذا الأمر ولكن إمتى كتحس به لما كتكون أسرة عندها دخل متواضع نعم و بتأثير من الأطفال كنشوفوا واحد الميزانية تخصص صحيح للصبيب ديال الإنترنت من أجل نعم يعني داخلة في الاهتمامات ممكن الناس تخل لا أنا ما تخلصش مجموعة من الالتزامات الشهرية ولكن لا كتقول لك الأم والأب ما نقدرش. نعيش. لأنه خصنا,06Label.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/IFwV8r61RVU_siAnkljAYw/O2zNUOwizFOnb1owthut56XQmU-bw_i_QltCxds4R4gAWtsyKH-Xz4KursXXhKsE7HsFBtegkh0kIXJA6W8FEiS_TF7S31Yp7N2HdcdFPd1oFzXp4EpXDi3seFETS3ApbsamABSZ2Wj3eEPRCLahQdsSynCpE6Hrb1Nj_jaC5xw/_PQJdfw0BuFjnqNC8HRlRTtW1Hy6U8uo3IBFIuc7Zgk),Other,Mixed/Educated Moroccan Arabic,French,"Female,Male",2,Tangier
09Label_16k.wav,العنف فالشارع. العنف فالشارع. للاسف. وما كاينش ما كاينش اضافة الى ذلك واحد النوع ديال ديال سميتو ديال عدم عدم التواصل لانه الاجتماعي بين الأسر ما بقاش التواصل بشكل مطلق لانه كتدخل للبيئة الأسرية كل واحد في عالمه الخاص ما بقيناش هذاك التواصل الأسري ما نهضروش على الأزواج على التفكك الأسري ولكن على هذا الجيل على هذا الفئة.,09Label.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/aZLakgJO_umtUTqJQUYXBg/Av7QKiZUwcOBrs6y-uOjf-nFqNjRWqNe0U0yY3pZyqoa-wU3FXj5z4CYc4MpRz_A2r7o4hutaljmVU-K9-o759MCAYqrHbJ0P4o28UatUjTCghuaoUKIA5Q1StmYTCbu5ACXRinWV893crvu0c6wK3qI4HAnt-WWKZ1uWX6dgbk/czk0gVf5vOTsybZAWmLClUHQ523fueWeP6jII7gjPOc),Of Oujda,Mixed/Educated Moroccan Arabic,,"Male,Female",2,Tangier
13Label_16k.wav,وهاد حتى هاد الأب اللي كنتساءلوا هاد الأطفال فهاد الساعة ترى أين هم حتى هما غادي يكونوا فراحة وشابرين التيليفون وهادي وأمور اللي هي عادية. أنا لا بد دكتور ما نتكلموا على سياسة ونتكلموا على الإرادة الحقيقية للدولة. هل ترى أنه برنامج انتخابي بما أننا حنا على الأبواب يضع الطفولة في صلب الاهتمامات وأنها راه ما يمكنش نتكلموا على تنمية حقيقية إلى ما اشتغلناش على الطفولة.,13Label.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/LUjwfE8xJfNEdE5O3_OOPg/1pXMVVolW5tuboPzfibzM6dfle_DP03NaPk-dzrDRw1W1yzgHKCS8XlEfxotcg-E1RjQrzUNxMNGs7Oo4r67u0AfDtSl_fxc8VGkKpBT61YStA-I-rR0Qra8a-A64Iz3eCgp_Bl4jJ_bPSAryd6QaPVBFJ_z4ba6-SWUIWDDFTY/j3t51uLm0rq-yESuhi2wCKDImXr7z1HFpGfdyXnCt_A),Of Tangier/Tetouan,Mixed/Educated Moroccan Arabic,French,Male,2,Tangier
e0vjzUiBgy8_segment_05.mp3_16k.wav,بالأخص أوروبية. لماذا لا البحث عن مثلا بلدان أسيوية نخص بالذكر اليابان لأنهم سباقين في هذا الميدان هذا ويمكن حتى هما بالخبرة ديالهم وبالتقنيات اللي عندهم يمكن يجيو حتى هما في إطار التعاون الثنائي المغربي الياباني ويمدوا لنا يد المساعدة ونشوفوا شنو هما التقنيات اللي يمكن لها تكون يقدروا يلقاو يقدروا يلقاو يقدروا يلقاو يعني تنعتقد بأن من الممكن من الممكن,e0vjzUiBgy8_segment_05.mp3.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/u0i5dVXamE-8GE4C82biXw/CoiWZbmdYx4MXsKn3IqV4SQVpTD_5lxXYmXts5OtN6hRIi4RkBvVy0XhQo47Tz90PTZNrw9Htl41abrk5AXfFoMnbcnr_3ykUNQ1Nid2sdRqu6HVC1uqeHZQNXG8ssjrTMezQLF2fwxZ0VYC4f_tkhBxJeJy_alhqfvwXpu7OUc6i3mYSgi0EhDbNzUQLuYv/Uk_moqVlLllUbGvstJZuiXBwz26mdjatX3TWsjIZITc),Other,Mixed/Educated Moroccan Arabic,,Male,2,Tangier
e0vjzUiBgy8_segment_06.mp3_16k.wav,ما تيبقاش كدور ديال تنفيذ بعض المطالب فقط، بل هناك آفاق مستقبلية تيمكن لها ترسمها الناس اللي مكلفين بالغرفة من ناحية المنتخبين على رأسهم الرئيس بجميع الأعضاء اللي معاه، وكذلك الدور ديال المديرية اللي هي أداة اللي تيخصها تساير جميع المشاريع اللي كاينة في المنطقة، أخص بالذكر أولا بناء,e0vjzUiBgy8_segment_06.mp3.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/SAQC8apShha-mB8B7DDiZw/fUCtADtD7IAntvR4OC4k__Fn-50LTPelLPUuxVYJgPBuHS4ucCGFhEJokFq3p7eiqavjRpnj0Bn86y4bX8ySYBWOftZPAY5F1k-v_5-JlQzI5AWsZSPGjBarDK3sBYKWeHOGs8vyyp5ExKecNQYH_1KG0xjGXkv_TcI898dgrmqyb87E6CND7r0hMZB8ny_D/1vLfhm2rCTP0vTjhEA-KcNyZ4AmPCTmdUbKpliWTgJA),Other,Mixed/Educated Moroccan Arabic,,Male,1,Tangier
radio_20250705_201647.mp3_16k.wav,المنتخب الإسباني بطل العالم و خورخي فيلدا في أول مواجهة ديال زامبيا كان تفوق عليهم بخمسة لزيرو ولكن مع لا روخا. الكرة عند المنتخب الوطني كتمشي لعند سكينة الوزراوي، سكينة الوزراوي لا باس ديالها شوية ناقصة في اتجاه نجاة بدري، نجاة بدري اللي غادة للبريسينغ، نفس الشيء بالنسبة لغزلان الشباك و كنلاحظوا أن اللاعبات ديال الوسط لاعبين بشركة بشكل دينامي، يعني ماكيجلسوش في مكان واحد وكاين واحد التعاون واحد التآزر à la perte du ballon يعني البريسينغ,radio_20250705_201647.mp3.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/JMkIYjIGuQXoKyQQaNbdEg/Kkj96-2zqcKt0kv8hEC67di4Q6C_gaCv5So2Q42E6hk66Q2YZG94bqHfvaWFa9y6YrYZUApgpFrG1G-Xl1HcI-ms7J6QNYMoBYCsNnHjl_zrKwnrWsBtRss8PMX1MBV6E-SyuXRdahqjBwyJFVhuXHaLx-RXW-Za1CvSG8mvcu7PXyXard5f3rkBexSUymx4/UUKkNBkSOFI2pO2ghToKCvmvqqUP2RVOIE4RAIm-ckY),Of Casablanca,Mixed/Educated Moroccan Arabic,"French,English,Spanish",Male,1,Tangier
Tangier_1-53_16k.wav,وكذلك الوطنية وكذلك الدولية يعني برنامج يعني شامل وخصوصا يعني كنعرفوا أن يعني حتى للجمعيات وفي مثل هذه المناسبات ديال التضافر والتضامن وكذلك الجمعيات ديال كرة السلة ذوي الاحتياجات الخاصة حتى هما يعني دائما وأبدا كتمر عليهم يعني مرة بالتدقيق ومرة يعني بحضور يعني حتى التظاهرات الوطنية,Tangier_1-53.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/R26CJdzssb8zVLRiwmgVMw/OUdMo14QnzWAa0uRIJjEuf68oqCjvq_vWrr-x3eT89zYy56An_CgNeowvHNygToIbtsV31dBS41pnH4g5ofydyXBejtlOQWWtGWRTt7D4nHiVXL8f8-_P973axrjJt6pbH-I-ebF5a31DYt4AXt0EIlAB22fBjPWTeaB8bSaRXU/tUW31bWBKET3XBDjERX4p_RsWAdQ2zAeXhaVHuldhhQ),Of Casablanca,Standard Arabic,,Male,1,Tangier
Tangier_2-122_16k.wav,ديال المنظمة. ف وبقيت في المجال اللي كنت اشتغلت عليه وهو كل ما يتعلق بمجال الشغل أو العمل وكل ما يتعلق بالحوار الاجتماعي والحريات النقابية. فأنجزت كذلك عدد من الدراسات اللي كتسمى في المشرق العربي كيسميوها أوراق سياسات اللي كانت محط إما منشورة لدى هذه المنظمات بمواقع,Tangier_2-122.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/taCfEJVgBOI430up6JD5Tw/z8ry7BraUOoOhT2m-7es4BOK51OtfPMErgNZ5h0pwIT_iUaw9HrgkVb7KRzCO_wE88_xmjZ_K5XUAm2jHUOK3jawWIAlAA6C2ukgsoR5NlVhNfWDK0ZEYus_d-ZKahK8f_gFB9AhGELlhuAasD6ow-AglgIlK32rvpEV_XO1GSw/ZPX1dBhUqMPWiNlCTHxU6mAQWOuBXAXFD0K5l88BYhk),Other,Mixed/Educated Moroccan Arabic,,Male,2,Tangier
Tangier_2-138_16k.wav,المركزيات النقابيه اي الطبقه العامله ومصالح كذلك ما نسميه رجال الاعمال او الباترونا وكذلك الجمعيات المهنيه وبالتالي كان عليك انك تدير ما يسمى الحوار الاجتماعي ما بين كل هذه الاطراف وهذا الحوار ماشي فقط في مجال الشغل لان كانت عندي حقيبه التكوين المهني يمكن نقول كنعتز بواحد المجموعه من الاصلاحات اللي دخلات نقدر نقول,Tangier_2-138.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/uED9EU4-cdA8mZow8T6KUw/03D99kLOYhAnQG2W0lAbUMR-piNstGMRFqy4gKa2qbIq5lTu2SRrVxv1Z83vfYrN1CWMEd9mnJOUq8s25q3qGAF6nIROjtyaDWTXoAH0-zxQvRLc9EY-x3Vh-LIk4lRAdWBPGW16c9o0_6OTaobtqh-iUNsZCSyHbXZ3MibA0nU/gONuSG48dJV4Q0K0g29Ts-tRqZZSuTHfpFsWV_MU4Qg),Other,Mixed/Educated Moroccan Arabic,French,Male,1,Tangier
Tangier_2-141_16k.wav,اللي سمح نقول اليوم بكل اعتزاز بالصيغة التي أحدثنا هذا المركز ديال التكوين أنه صبح منارة وإشعاع لاستقطاب أكبر الشركات في مجال الطيران في المغرب. جميل. ويعود له الفضل اليوم هذا المركز أنه في استقطاب أكثر من مئة و خمسين شركة ربما كتشتغل اليوم وفي تطوير الصناعة ديال المغرب في مجال الطيران.,Tangier_2-141.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/mkJxDLg4OMyof9kOFS6GVQ/S2DbVc1251qz2jFGEIaNCIaSGvO0cvcYROHJGBaxoOnlHW8rGD0fWVgMNoXN2nszUI-3AU-uvVc3sgFLUHf3NoG-otgwWrdE5ftKVsPB2cMotsw13UTg0adlJKw9-z3a4P7Azo7TjiCTEFVfkiMWURFfA1ufJ_l8U6Bx4RvZpM0/uMwW7COxQNMheE5FMAnbpBc3xsQBz5ZEg8AOdiGFUUw),Other,Mixed/Educated Moroccan Arabic,,"Male,Female",2,Tangier
Tangier_2-151_16k.wav,راجعتهم شوية، ثم بديت كنكتب على مرحلة الطفولة. قلت أجي علاش ما نكتبش على مرحلة الطفولة ديالي كي جرات، بديت كنتذكر من الذاكرة. أنا ما عنديش شي مراجع. نعم. من الذاكرة. فكتبت هذيك واحد مجموعة من الصفحات اللي صبحت بحال شي فصل على الطفولة وكنت مقرر أنني نواصلها، لكن انقطعت بفعل واحد الانشغالات. ثم كانوا بعض الأصدقاء اللي كنا كنجلسوا في بعض الجلسات,Tangier_2-151.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/mqpzzFv-zkbGKWZIbWMm1A/cPrbP3X_hlstUOFShFBJeCPBVPeAfE-61YIKVN-u7vbiLGC4mA6XprMvI5R1fkGL3YoIYWzRNq94-WVVZ6LbuihIfgPVEKyLlFu-lq8XigpSnXb7CMeJ_-W8nlK1Spum-CPit8VyfM14FeEXvxNCHd9k8C-ewrphhy5uF4UmNPM/c1toQVh4H-gvEvq-HyITGF0F5PvPEXSkmY-hPRINcW0),Other,Mixed/Educated Moroccan Arabic,,"Male,Female",2,Tangier
Tangier_3-01_16k.wav,حتى انا في Paris خرجت في ال نتاع تاع حرائق واضرابات ال شو اسمهم ال les banlieues قبل سنوات يعني خرجت ايضا وطالبت قالت هادو هادو صحيح قد يكونوا مغاربيين اللي يخرجوا في ال او افارقه يخرجوا في المظاهرات ولكن انتم حصرتوهم في دوائر انتم قلتوا لهم انتم لا تشبهون الاخرين انتم قلتوا لهم انتم ربع فرنسيين وهم فرنسيين نعم ويقدمون يوميا,Tangier_3-01.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/Be21ssqhr61VPkD6DkiYYQ/opSZSBgdVPD1CoT-wLQMs2ikmHQwuJ3JojApoFVhNuZFQisky1oQz9NLU1rEpynYsZU6ETbWjBsyL8bMXZBkXC3xk1Tbl_XPAR9itILjRmxGqmQxjzG8r-1QLIZqRXwztBDOlYSAPMB39at0p01VMr-H2gQhrRcua38uuNDJ4rQ/XznqM5Z0SGN9pyk57RQREEUHzgg_t0BZLWE0LTNFQ1E),Of Oujda,Mixed/Educated Moroccan Arabic,French,Male,2,Tangier
Tangier_3-05_16k.wav,بغات نعم تبقى تبقى هذيك الجذوة الحرارة نتاعها هذيك الجمرة هذيك نعم هي تكتمل هذه الجمرة هي جمرة هي جمرة رمزية أيضا نعم جمرة قبلتها من الأربعينيات وهي تعاني وتقاسي اشتغلت في كل الأماكن اللي ممكن تتخيلها تبحث ما عندهاش وين تبات تبات والدها وأمها ماتوا بال بالتيفيس اللي كان مرض قاتل يعني في ذلك الوقت توجد نفسها في الشوارع بسيدي بلعباس أو في تالة اللي هي,Tangier_3-05.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/kO8ZviYeUoYA3OW6ox5BYQ/qgIWvjOMrcQIqbI0G1cmMuycsrn-X5B0WtnWv7J99mNv61TlttXQ15jpYgLZd7NI0SjjRS7ruo2m22280pDdQD5fG08MumKRXbeSY9QycoehVhNLRPWi-5x_oXSla-x1V_B7A9xAmn3NTAB2Is3mv4nHfdggFFXOmdVUN6AWdl8/KDTr8V7eS3mPuYYokWbQKv9MFdshT8y112e1kh4fShs),Of Oujda,Mixed/Educated Moroccan Arabic,,Male,2,Tangier
Tangier_3-07_16k.wav,هذه الأغنية واد الشولي اللي استشهدوا فيها مجموعة من من من الضباط الجزائريين في عملية غير متوازنة في منطقة تلمسان كانوا الفرنسيين أقوياء بالجيش بال والبقية قليلة ولكن بالحيلة والذكاء استطاعوا أنهم يفرضوا نفسهم ولكن استشهدوا يعني في نهاية المطاف نوع من من الاستشهاد في سبيل الوطن في ذلك الوقت وهي تصف استشهاد هؤلاء الشباب يعني,Tangier_3-07.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/b-A6ltpTXzj7v0IBl4zVTg/ENJWttMRigMBAU0NYL3mlr-NqIjzcfGUtSFapyaqAE2FLGzFGKtzTfyTUtxPcreLaT6j6_D1viMFVXA488MOb8OGT1U-yCZJfPRJCMn-KgjFAiBpnuVPPeKqMf84o1htGU9I9UmFVvsRyEtJUZrOSxqGYxgIDBuqDq9v4DmbExA/DT802mGo1dckAZHZHc8edDEc2tRwSzXDyeKv8nzsMvw),Of Oujda,Mixed/Educated Moroccan Arabic,,Male,2,Tangier
Tangier_3-08_16k.wav,أكبرهم عمره 27 سنة تخيل معي يعني يعني أن الناس هذو يمدوا حياتهم وهي ترثي هي أنا نعتبرها مرثية في الحقيقة ترثي هؤلاء بشكل حزين جدا وبالقصبة وهذيك القصبة الإيقاع اللي يسميوه عندنا في اللغة الشعبية المرجوع نعم حزين نقول له لما يكونوا يبرحوا مثلا ويتكلموا يقول له في خاطر كذا وكذا وكذا وراه يقول لك يا الشيخ فلان الفلاني الله يرضى عليك جيب لنا المرجوع الفلاني يعني هذاك الإيقاع,Tangier_3-08.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/lF68A1npDBRFn0VxD7tQgw/skYvBmHA9XwYY1eqxs-X6h8t5HA9OC-ZSTflkATUiqkRaQAaXsQEuhDciTO4NyLz2L91z_97Yrgkae8lGP-HGG_rusfhGSuwy_m_X4hiSviTDpwDuQAT4DQXRwtBDZxDdDI3Y2w8wgeWbXbskf1BO2Ogj_FktxCGPXiK2H07A2M/AXIX78D_QR8P6KKX_KGcMkTcDapFG0_6peBD7n4mpL0),Of Oujda,Mixed/Educated Moroccan Arabic,,Male,2,Tangier
Tangier_Radio_2-01_16k.wav,مثلا الأمان جميل جدا أنه الأمان كيجي من الجانب المالي ولكن خصه يكون حاضر وكيسمع باش يكون مصاحب للأبناء دياله. يعني خاص يكون عندنا ذكاء عاطفي للتعامل مع هاد مع هاد الحالات هادو. فعلا هو هنا كيتطرح السؤال فين أنا مهتم بواحد الجانب وفين خصني نزيد نشتغل على ذاتي باش نغطي ديك الفجوة بيني وبين بهاد الجانب. وهادشي ما يمكن له يكون إلا باشتغالنا على ذواتنا والوعي بأنفسنا.,Tangier_Radio_2-01.wav (https://v5.airtableusercontent.com/v3/u/54/54/1780862400000/f5EIfcDlDu3vOfau2ypeiA/ywXgfN6FZ4m7AnBCSL6LcK2a6Y5X_Ao56cf_fsapr7Rjy34zgwZojoWbjW9uZHfvTSu9Up3ns3vJhmiaORH_3NflhDzjCjAg6gWEswPHARbwGaVPNaLYF3ZJ5_sn9yjxsOYGhNJWgVSjIO7Drjdk96chjVlCo_g3G6aq8gLIvjs/7ISzQgGBt5nYXQ165rsqrOl5F7Ej0Dnb0zqUISGoDeE),Other,Mixed/Educated Moroccan Arabic,,Female,2,Tangier
